mình muốn mua giày màu tím,0,0,0
mình muốn mua giày màu cam,0,0,0
mình muốn mua giày màu ghi,0,0,0
mình cần mua giày hợp với vest màu đen,1,1,1
mình cần mua giày phù hợp với vest màu trắng,1,1,0
mình cần mua giày phù hợp với vest màu xanh,1,1,1
mình cần mua giày phù hợp với vest màu be,1,1,1
giày sáng màu,0,0,0
mình muốn mua giày sáng màu,0,0,0
giày tối màu,1,1,1
mình muốn mua giày tối màu,1,1,1
sản phẩm giày,1,1,1
sản phẩm giày bán chạy nhất,1,1,1
sản phẩm giày best seller,1,1,1
giày xấu,0,0,0
sản phẩm xấu,0,0,0
