sản phẩm best seller của shop vậy ạ,0,1,1
sản phẩm bán chạy,0,1,0
mình có dáng khá thon mua áo sơ mi nào thì tôn dáng ạ,0,1,1
áo sơ mi xanh shop có không,1,0,0
áo sơ mi trắng của shop đâu cho mình tham khảo,0,1,1
mình cần mua áo sơ mi xanh,1,0,0  
mình cần mua áo sơ mi trắng,0,1,1  
mình cần mua áo sơ mi trắng kẻ,0,0,1
mình cần mua áo sơ mi có kẻ của shop,1,0,1  
mình cần mua áo sơ mi màu đỏ,0,0,0  
mình cần mua áo sơ mi màu đen,0,0,0  
mình cần mua áo sơ mi màu xám,0,0,0  
mình cần mua áo sơ mi màu vàng,0,0,0  
mình cần mua áo sơ mi màu cam,0,0,0  
mình cần mua áo sơ mi màu hồng,0,0,0  
mình cần mua áo sơ mi màu tím,0,0,0  
mình cần mua áo sơ mi màu nâu,0,0,0  
mình cần mua áo sơ mi màu bạc,0,0,0  
mình cần mua áo sơ mi màu xanh lá,0,0,0  
mình cần mua áo sơ mi màu xanh ngọc,0,0,0  
mình cần mua áo sơ mi màu xanh rêu,0,0,0  
mình cần mua áo sơ mi màu vàng chanh,0,0,0  
mình cần mua áo sơ mi màu đồng,0,0,0  
mình cần mua áo sơ mi màu be,0,0,0  
mình cần mua áo sơ mi màu cà phê,0,0,0  
mình cần mua áo sơ mi màu rượu vang,0,0,0  
mình cần mua áo sơ mi màu hồng phấn,0,0,0  
mình cần mua áo sơ mi màu xanh dương đậm,0,0,0  
mình cần mua áo sơ mi màu xám khói,0,0,0  
tôi cần áo sơ mi xanh,1,0,0  
tôi cần áo sơ mi trắng,0,1,1  
tôi cần áo sơ mi trắng kẻ,0,0,1
tôi cần áo sơ mi có kẻ của shop,1,0,1  
tôi cần áo sơ mi màu đỏ,0,0,0  
tôi cần áo sơ mi màu đen,0,0,0  
tôi cần áo sơ mi màu xám,0,0,0  
tôi cần áo sơ mi màu vàng,0,0,0  
tôi cần áo sơ mi màu cam,0,0,0  
tôi cần áo sơ mi màu hồng,0,0,0  
tôi cần áo sơ mi màu tím,0,0,0  
tôi cần áo sơ mi màu nâu,0,0,0  
tôi cần áo sơ mi màu bạc,0,0,0  
tôi cần áo sơ mi màu xanh lá,0,0,0  
tôi cần áo sơ mi màu xanh ngọc,0,0,0  
tôi cần áo sơ mi màu xanh rêu,0,0,0  
tôi cần áo sơ mi màu vàng chanh,0,0,0  
tôi cần áo sơ mi màu đồng,0,0,0  
tôi cần áo sơ mi màu be,0,0,0  
tôi cần áo sơ mi màu cà phê,0,0,0  
tôi cần áo sơ mi màu rượu vang,0,0,0  
tôi cần áo sơ mi màu hồng phấn,0,0,0  
tôi cần áo sơ mi màu xanh dương đậm,0,0,0  
tôi cần áo sơ mi màu xám khói,0,0,0  
các loại áo sơ mi của shop,1,1,1
các loại áo sơ mi,1,1,1
áo sơ mi đẹp,1,1,1
tôi cần đi đám cưới nên chọn cái nào,1,1,1
mình cần mua áo để đi đám cưới nên chọn cái nào,1,1,1
mình cần mua áo để đi làm,1,1,1
mình cần mua áo để đi phỏng vấn,1,1,1
tôi cần mua áo để đi phỏng vấn,1,1,1
tôi cần mua áo để đi phỏng vấn,1,1,1
tôi cần mua áo sơ mi sáng màu,1,1,1
áo sơ mi sáng màu,1,1,1
áo sơ mi tối màu,0,0,0
sản phẩm áo sơ mi,1,1,1
