tôi cần mua quần màu xám,0.0,1.0,1.0,0.0
tôi cần mua quần màu be,0.0,0.0,0.0,1.0
tôi cần mua quần tối màu,1.0,1.0,0.0,0.0
tôi cần mua quần sáng màu,0.0,0.0,1.0,1.0
tôi cần mua quần dáng slim,1.0,1.0,1.0,0.0
tôi cần mua quần dáng suông,0.0,0.0,0.0,1.0
tôi cần mua quần đắt nhất,0.0,1.0,0.0,0.0
tôi cần mua quần rẻ nhất,0.0,0.0,1.0,0.0
tôi cần mua quần dễ phối đồ,1.0,1.0,1.0,0.0
tôi cần mua quần lịch sự,1.0,1.0,1.0,0.0
tôi cần mua quần cá tính,0.0,0.0,0.0,1.0
tôi cần mua quần trẻ trung,1.0,0.0,1.0,1.0
tôi cần mua quần cho người lớn tuổi,1.0,1.0,1.0,0.0
tôi muốn mua quần,1.0,1.0,1.0,1.0
tôi muốn mua quần màu đen,1.0,0.0,0.0,0.0
tôi muốn mua quần màu xám,0.0,1.0,1.0,0.0
tôi muốn mua quần màu be,0.0,0.0,0.0,1.0
tôi muốn mua quần tối màu,1.0,1.0,0.0,0.0
tôi muốn mua quần sáng màu,0.0,0.0,1.0,1.0
tôi muốn mua quần dáng slim,1.0,1.0,1.0,0.0
tôi muốn mua quần dáng suông,0.0,0.0,0.0,1.0
tôi muốn mua quần đắt nhất,0.0,1.0,0.0,0.0
tôi muốn mua quần rẻ nhất,0.0,0.0,1.0,0.0
tôi muốn mua quần dễ phối đồ,1.0,1.0,1.0,0.0
tôi muốn mua quần lịch sự,1.0,1.0,1.0,0.0
tôi muốn mua quần cá tính,0.0,0.0,0.0,1.0
tôi muốn mua quần trẻ trung,1.0,0.0,1.0,1.0
tôi gầy nên chọn bộ nào,0.0,0.0,0.0,1.0
tôi béo nên chọn bộ nào,1.0,1.0,1.0,0.0
tôi cân đối nên chọn bộ nào,1.0,1.0,1.0,1.0
mình cần quần cho buổi tiệc,1.0,1.0,1.0,1.0
mình muốn tìm quần mặc đi làm,1.0,1.0,0.0,1.0
mình muốn tìm quần mặc đi sự kiện,1.0,1.0,1.0,1.0
mình muốn tìm quần để đi chụp ảnh,1.0,1.0,1.0,1.0
mình muốn tìm quần để đi học,1.0,1.0,1.0,1.0
mình cần quần lưng cao,1.0,0.0,0.0,0.0
tôi muốn quần lưng thấp,0.0,1.0,1.0,1.0
tôi cần quần có túi lớn,1.0,1.0,0.0,0.0
mình muốn quần trơn,1.0,0.0,1.0,1.0
mình cần quần có thể phối với áo phông,1.0,1.0,1.0,1.0
mình cần quần màu trắng,0.0,0.0,0.0,1.0
mình cần quần cho buổi hẹn hò,1.0,1.0,1.0,0.0
mình muốn quần mỏng,1.0,0.0,0.0,1.0
mình cần quần có chất liệu thoáng khí,0.0,1.0,1.0,0.0
mình muốn tìm quần theo xu hướng mới,1.0,1.0,0.0,0.0
tôi cần quần làm việc thoải mái,1.0,1.0,1.0,0.0
tôi cần quần có thể mang hàng ngày,1.0,0.0,1.0,1.0
tôi muốn mua quần không co giãn,0.0,1.0,0.0,0.0
mình cần quần có độ bền cao,1.0,1.0,1.0,1.0
tôi muốn mua quần âu bền,1.0,1.0,1.0,1.0
mình cần quần cho sự kiện đặc biệt,1.0,1.0,1.0,1.0
mình muốn quần dễ bảo quản,1.0,1.0,1.0,1.0
tôi cần mua quần âu màu be,0.0,0.0,0.0,1.0
mình cần mua quần màu đỏ,0.0,0.0,0.0,0.0
mình cần mua quần màu xanh,0.0,0.0,0.0,0.0
mình cần mua quần màu vàng,0.0,0.0,0.0,0.0
mình cần mua quần màu tím,0.0,0.0,0.0,0.0
tôi muốn mua quần màu đỏ,0.0,0.0,0.0,0.0
tôi muốn mua quần màu xanh,0.0,0.0,0.0,0.0
tôi muốn mua quần màu vàng,0.0,0.0,0.0,0.0
tôi muốn mua quần màu tím,0.0,0.0,0.0,0.0
mình cần mua quần màu hồng,0.0,0.0,0.0,0.0
tôi muốn mua quần màu hồng,0.0,0.0,0.0,0.0
sản phẩm quần bán chạy nhất của bạn,1.0,0.0,0.0,1.0
sản phẩm quần bán chạy nhất của shop,1.0,0.0,0.0,1.0
sản phẩm quần best seller của bạn,1.0,0.0,0.0,1.0
sản phẩm quần dành cho người lớn tuổi,1.0,1.0,1.0,0.0
sản phẩm quần dành để tặng sinh nhật,1.0,1.0,1.0,1.0
sản phẩm quần để làm quà,1.0,1.0,1.0,1.0
sản phẩm quần đẹp của shop,1.0,1.0,1.0,1.0
sản phẩm quần,1.0,1.0,1.0,1.0
